[1;34m[src/utils/log.c:30 init_log] Log is written to /home/curry/code/ysyx_curry/am-kernels/kernels/demo/build/nemu-log.txt[0m
[1;34m[src/memory/paddr.c:50 init_mem] physical memory area [0x80000000, 0x87ffffff][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'serial' at [0xa00003f8, 0xa00003ff][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'rtc' at [0xa0000048, 0xa000004f][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'vgactl' at [0xa0000100, 0xa0000107][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'vmem' at [0xa1000000, 0xa10752ff][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'keyboard' at [0xa0000060, 0xa0000063][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'audio' at [0xa0000200, 0xa0000217][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'audio-sbuf' at [0xa1200000, 0xa120ffff][0m
[1;34m[src/monitor/monitor.c:61 load_img] The image is /home/curry/code/ysyx_curry/am-kernels/kernels/demo/build/demo-riscv32-nemu.bin, size = 36404[0m
[1;34m[src/utils/itrace.c:429 parse_elf] specified ELF file: /home/curry/code/ysyx_curry/am-kernels/kernels/demo/build/demo-riscv32-nemu.elf[0m
[1;34m[src/monitor/monitor.c:28 welcome] Trace: [1;32mON[0m[0m
[1;34m[src/monitor/monitor.c:29 welcome] If trace is enabled, a log file will be generated to record the trace. This may lead to a large log file. If it is not necessary, you can disable it in menuconfig[0m
[1;34m[src/monitor/monitor.c:32 welcome] Build time: 21:24:41, Apr  7 2025[0m
0x80000000: 00 00 04 13 mv	s0, zero
0x80000004: 00 01 11 17 auipc	sp, 0x11
0x80000008: ff c1 01 13 addi	sp, sp, -4
0x8000000c: 22 c0 20 ef jal	0x222c
0x80002238: ff 01 01 13 addi	sp, sp, -0x10
0x8000223c: 00 00 65 17 auipc	a0, 6
0x80002240: 9a 45 05 13 addi	a0, a0, -0x65c
0x80002244: 00 11 26 23 sw	ra, 0xc(sp)
0x80002248: 84 4f f0 ef jal	-0xfbc
0x8000128c: fe 01 01 13 addi	sp, sp, -0x20
0x80001290: 00 81 2c 23 sw	s0, 0x18(sp)
0x80001294: 00 11 2e 23 sw	ra, 0x1c(sp)
0x80001298: 00 05 04 13 mv	s0, a0
0x8000129c: 05 00 10 ef jal	0x1050
0x800022ec: ff 01 01 13 addi	sp, sp, -0x10
0x800022f0: 00 11 26 23 sw	ra, 0xc(sp)
0x800022f4: 00 00 67 97 auipc	a5, 6
0x800022f8: 99 c7 87 93 addi	a5, a5, -0x664
0x800022fc: 00 00 66 97 auipc	a3, 6
0x80002300: b9 46 86 93 addi	a3, a3, -0x46c
0x80002304: 00 00 06 17 auipc	a2, 0
0x80002308: f8 06 06 13 addi	a2, a2, -0x80
0x8000230c: 00 c0 00 6f j	0xc
0x80002318: 00 07 a7 03 lw	a4, 0(a5)
0x8000231c: fe 07 1a e3 bnez	a4, -0xc
0x80002320: 00 c7 a0 23 sw	a2, 0(a5)
0x80002324: 00 47 87 93 addi	a5, a5, 4
0x80002328: fe d7 98 e3 bne	a5, a3, -0x10
0x80002318: 00 07 a7 03 lw	a4, 0(a5)
0x8000231c: fe 07 1a e3 bnez	a4, -0xc
0x80002310: 00 47 87 93 addi	a5, a5, 4
0x80002314: 00 d7 8c 63 beq	a5, a3, 0x18
0x80002318: 00 07 a7 03 lw	a4, 0(a5)
0x8000231c: fe 07 1a e3 bnez	a4, -0xc
0x80002320: 00 c7 a0 23 sw	a2, 0(a5)
0x80002324: 00 47 87 93 addi	a5, a5, 4
0x80002328: fe d7 98 e3 bne	a5, a3, -0x10
0x80002318: 00 07 a7 03 lw	a4, 0(a5)
0x8000231c: fe 07 1a e3 bnez	a4, -0xc
0x80002320: 00 c7 a0 23 sw	a2, 0(a5)
0x80002324: 00 47 87 93 addi	a5, a5, 4
0x80002328: fe d7 98 e3 bne	a5, a3, -0x10
0x80002318: 00 07 a7 03 lw	a4, 0(a5)
0x8000231c: fe 07 1a e3 bnez	a4, -0xc
0x80002310: 00 47 87 93 addi	a5, a5, 4
0x80002314: 00 d7 8c 63 beq	a5, a3, 0x18
0x80002318: 00 07 a7 03 lw	a4, 0(a5)
0x8000231c: fe 07 1a e3 bnez	a4, -0xc
0x80002310: 00 47 87 93 addi	a5, a5, 4
0x80002314: 00 d7 8c 63 beq	a5, a3, 0x18
0x80002318: 00 07 a7 03 lw	a4, 0(a5)
0x8000231c: fe 07 1a e3 bnez	a4, -0xc
0x80002310: 00 47 87 93 addi	a5, a5, 4
0x80002314: 00 d7 8c 63 beq	a5, a3, 0x18
0x80002318: 00 07 a7 03 lw	a4, 0(a5)
0x8000231c: fe 07 1a e3 bnez	a4, -0xc
0x80002310: 00 47 87 93 addi	a5, a5, 4
0x80002314: 00 d7 8c 63 beq	a5, a3, 0x18
0x80002318: 00 07 a7 03 lw	a4, 0(a5)
0x8000231c: fe 07 1a e3 bnez	a4, -0xc
0x80002310: 00 47 87 93 addi	a5, a5, 4
0x80002314: 00 d7 8c 63 beq	a5, a3, 0x18
0x80002318: 00 07 a7 03 lw	a4, 0(a5)
0x8000231c: fe 07 1a e3 bnez	a4, -0xc
0x80002310: 00 47 87 93 addi	a5, a5, 4
0x80002314: 00 d7 8c 63 beq	a5, a3, 0x18
0x80002318: 00 07 a7 03 lw	a4, 0(a5)
0x8000231c: fe 07 1a e3 bnez	a4, -0xc
0x80002310: 00 47 87 93 addi	a5, a5, 4
0x80002314: 00 d7 8c 63 beq	a5, a3, 0x18
0x80002318: 00 07 a7 03 lw	a4, 0(a5)
0x8000231c: fe 07 1a e3 bnez	a4, -0xc
0x80002310: 00 47 87 93 addi	a5, a5, 4
0x80002314: 00 d7 8c 63 beq	a5, a3, 0x18
0x80002318: 00 07 a7 03 lw	a4, 0(a5)
0x8000231c: fe 07 1a e3 bnez	a4, -0xc
0x80002320: 00 c7 a0 23 sw	a2, 0(a5)
0x80002324: 00 47 87 93 addi	a5, a5, 4
0x80002328: fe d7 98 e3 bne	a5, a3, -0x10
